,tweet_id,rating_numerator,rating_denominator,name,date,time,stage,favorite_count,retweet_count,text,jpg_url,img_num,p1,p1_conf,p1_dog,p2,p2_conf,p2_dog,p3,p3_conf,p3_dog
0,891815181378084864,12.0,10.0,Archie,07-31-2017,00:18,,24739,4100,This is Archie. He is a rare Norwegian Pouncing Corgo. Lives in the tall grass. You never know when one may strike.â€¦ https://t.co/r0YlrsGCgy,https://pbs.twimg.com/media/DGBdLU1WsAANxJ9.jpg,1,Chihuahua,0.716012,True,Malamute,0.078253,True,Kelpie,0.0313789,True
1,891689557279858688,13.0,10.0,Darla,07-30-2017,15:58,,41655,8535,This is Darla. She commenced a snooze mid meal. 13/10 happens to the best of us https://t.co/tD36da7qLQ,https://pbs.twimg.com/media/DF_q7IAWsAEuuN8.jpg,1,Paper Towel,0.17027799999999998,False,Labrador Retriever,0.168086,True,Spatula,0.0408359,False
2,891327558926688256,12.0,10.0,Franklin,07-29-2017,16:00,,39825,9260,"This is Franklin. He would like you to stop calling him ""cute."" He is a very fierce shark and should be respected aâ€¦ https://t.co/0g0KMIVXZ3",https://pbs.twimg.com/media/DF6hr6BUMAAzZgT.jpg,2,Basset,0.555712,True,English Springer,0.22577,True,German Short-Haired Pointer,0.175219,True
3,891087950875897856,13.0,10.0,None,07-29-2017,00:08,,19998,3076,Here we have a majestic great white breaching off South Africa's coast. Absolutely h*ckin breathtaking. 13/10 (IG:â€¦ https://t.co/xx5cilW0Dd,https://pbs.twimg.com/media/DF3HwyEWsAABqE6.jpg,1,Chesapeake Bay Retriever,0.425595,True,Irish Terrier,0.116317,True,Indian Elephant,0.07690219999999999,False
4,890729181411237888,13.0,10.0,None,07-28-2017,00:22,,64678,18649,When you watch your owner call another dog a good boy but then they turn back to you and say you're a great boy. 13â€¦ https://t.co/hrcFOGi12V,https://pbs.twimg.com/media/DFyBahAVwAAhUTd.jpg,2,Pomeranian,0.566142,True,Eskimo Dog,0.17840599999999998,True,Pembroke,0.0765069,True
5,890609185150312448,13.0,10.0,Zoey,07-27-2017,16:25,,27490,4214,This is Zoey. She doesn't want to be one of the scary sharks. Just wants to be a snuggly pettable boatpet. 13/10â€¦ https://t.co/UkrdQyoYxV,https://pbs.twimg.com/media/DFwUU__XcAEpyXI.jpg,1,Irish Terrier,0.487574,True,Irish Setter,0.193054,True,Chesapeake Bay Retriever,0.118184,True
6,890006608113172480,13.0,10.0,Koda,07-26-2017,00:31,,30297,7243,This is Koda. He is a South Australian deckshark. Deceptively deadly. Frighteningly majestic. 13/10 would risk a peâ€¦ https://t.co/jy2alqaYPH,https://pbs.twimg.com/media/DFnwSY4WAAAMliS.jpg,1,Samoyed,0.957979,True,Pomeranian,0.0138835,True,Chow,0.00816748,True
7,889638837579907072,12.0,10.0,Ted,07-25-2017,00:10,,26855,4489,This is Ted. He does his best. Sometimes that's not enough. But it's ok. 12/10 would assist https://t.co/f8dEDcrKSR,https://pbs.twimg.com/media/DFihzFfXsAYGDPR.jpg,1,French Bulldog,0.99165,True,Boxer,0.00212864,True,Staffordshire Bullterrier,0.00149818,True
8,889278841981685760,13.0,10.0,Oliver,07-24-2017,00:19,,24998,5354,This is Oliver. You're witnessing one of his many brutal attacks. Seems to be playing with his victim. 13/10 fr*ckiâ€¦ https://t.co/qw5xRwBaIv,https://pbs.twimg.com/ext_tw_video_thumb/889278779352338437/pu/img/VlbFB3v8H8VwzVNY.jpg,1,Whippet,0.626152,True,Borzoi,0.194742,True,Saluki,0.0273507,True
9,888917238123831296,12.0,10.0,Jim,07-23-2017,00:22,,28750,4446,This is Jim. He found a fren. Taught him how to sit like the good boys. 12/10 for both https://t.co/chxruIOUJN,https://pbs.twimg.com/media/DFYRgsOUQAARGhO.jpg,1,Golden Retriever,0.714719,True,Tibetan Mastiff,0.120184,True,Labrador Retriever,0.105506,True
10,888554962724278272,13.0,10.0,Ralphus,07-22-2017,00:23,,19643,3530,This is Ralphus. He's powering up. Attempting maximum borkdrive. 13/10 inspirational af https://t.co/YnYAFCTTiK,https://pbs.twimg.com/media/DFTH_O-UQAACu20.jpg,3,Siberian Husky,0.700377,True,Eskimo Dog,0.166511,True,Malamute,0.111411,True
11,888078434458587136,12.0,10.0,Gerald,07-20-2017,16:49,,21499,3452,This is Gerald. He was just told he didn't get the job he interviewed for. A h*ckin injustice. 12/10 didn't want thâ€¦ https://t.co/UibDBnVpvR,https://pbs.twimg.com/media/DFMWn56WsAAkA7B.jpg,1,French Bulldog,0.995026,True,Pug,0.000931908,True,Bull Mastiff,0.000903211,True
12,887705289381826560,13.0,10.0,Jeffrey,07-19-2017,16:06,,29808,5321,This is Jeffrey. He has a monopoly on the pool noodles. Currently running a 'boop for two' midweek sale. 13/10 h*ckâ€¦ https://t.co/m7BR4JgDrZ,https://pbs.twimg.com/media/DFHDQBbXgAEqY7t.jpg,1,Basset,0.821664,True,Redbone,0.0875815,True,Weimaraner,0.026236400000000003,True
13,887517139158093824,14.0,10.0,None,07-19-2017,03:39,,45719,11526,I've yet to rate a Venezuelan Hover Wiener. This is such an honor. 14/10 paw-inspiring af (IG: roxy.thedoxy) https://t.co/20VrLAA8ba,https://pbs.twimg.com/ext_tw_video_thumb/887517108413886465/pu/img/WanJKwssZj4VJvL9.jpg,1,Limousine,0.130432,False,Tow Truck,0.0291754,False,Shopping Cart,0.0263208,False
14,887343217045368832,13.0,10.0,None,07-18-2017,16:08,,33286,10284,You may not have known you needed to see this today. 13/10 please enjoy (IG: emmylouroo) https://t.co/WZqNqygEyV,https://pbs.twimg.com/ext_tw_video_thumb/887343120832229379/pu/img/6HSuFrW1lzI_9Mht.jpg,1,Mexican Hairless,0.330741,True,Sea Lion,0.275645,False,Weimaraner,0.134203,True
