,tweet_id,rating_numerator,rating_denominator,name,date,time,stage
0,892420643555336193,13.0,10.0,Phineas,08-01-2017,16:23,
1,892177421306343426,13.0,10.0,Tilly,08-01-2017,00:17,
2,891815181378084864,12.0,10.0,Archie,07-31-2017,00:18,
3,891689557279858688,13.0,10.0,Darla,07-30-2017,15:58,
4,891327558926688256,12.0,10.0,Franklin,07-29-2017,16:00,
5,891087950875897856,13.0,10.0,None,07-29-2017,00:08,
6,890971913173991426,13.0,10.0,Jax,07-28-2017,16:27,
7,890729181411237888,13.0,10.0,None,07-28-2017,00:22,
8,890609185150312448,13.0,10.0,Zoey,07-27-2017,16:25,
9,890240255349198849,14.0,10.0,Cassie,07-26-2017,15:59,doggo
10,890006608113172480,13.0,10.0,Koda,07-26-2017,00:31,
11,889880896479866881,13.0,10.0,Bruno,07-25-2017,16:11,
12,889665388333682689,13.0,10.0,None,07-25-2017,01:55,puppo
13,889638837579907072,12.0,10.0,Ted,07-25-2017,00:10,
14,889531135344209921,13.0,10.0,Stuart,07-24-2017,17:02,puppo
15,889278841981685760,13.0,10.0,Oliver,07-24-2017,00:19,
16,888917238123831296,12.0,10.0,Jim,07-23-2017,00:22,
17,888804989199671297,13.0,10.0,Zeke,07-22-2017,16:56,
18,888554962724278272,13.0,10.0,Ralphus,07-22-2017,00:23,
19,888202515573088257,13.0,10.0,Canela,07-21-2017,01:02,
20,888078434458587136,12.0,10.0,Gerald,07-20-2017,16:49,
21,887705289381826560,13.0,10.0,Jeffrey,07-19-2017,16:06,
22,887517139158093824,14.0,10.0,None,07-19-2017,03:39,
23,887473957103951883,13.0,10.0,Canela,07-19-2017,00:47,
24,887343217045368832,13.0,10.0,None,07-18-2017,16:08,
25,887101392804085760,12.0,10.0,None,07-18-2017,00:07,
26,886983233522544640,13.0,10.0,Maya,07-17-2017,16:17,
27,886736880519319552,13.0,10.0,Mingus,07-16-2017,23:58,
28,886680336477933568,13.0,10.0,Derek,07-16-2017,20:14,
29,886366144734445568,12.0,10.0,Roscoe,07-15-2017,23:25,pupper
30,886267009285017600,12.0,10.0,None,07-15-2017,16:51,
31,886258384151887873,13.0,10.0,Waffles,07-15-2017,16:17,
32,886054160059072513,12.0,10.0,None,07-15-2017,02:45,
33,885984800019947520,12.0,10.0,Jimbo,07-14-2017,22:10,
34,885528943205470208,13.0,10.0,Maisey,07-13-2017,15:58,
35,885518971528720385,14.0,10.0,None,07-13-2017,15:19,
36,885311592912609280,13.0,10.0,Lilly,07-13-2017,01:35,
37,885167619883638784,13.0,10.0,None,07-12-2017,16:03,
